timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673704025513,156,/object_info_4,200,OK,Group_31 1-2,text,true,,237,166,16,16,http://162.55.220.72:5005/object_info_4?name=Alona&age=32&salary=1000,156,0,91
1673704025547,143,/user_info_3,200,OK,Group_31 1-11,text,true,,370,248,16,16,http://162.55.220.72:5005/user_info_3,143,0,71
1673704025547,138,/user_info_2,200,OK,Group_31 1-13,text,true,,464,248,16,16,http://162.55.220.72:5005/user_info_2,138,0,67
1673704025551,139,/object_info_1,200,OK,Group_31 1-9,text,true,,230,164,16,16,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,139,0,67
1673704025582,167,/object_info_3,200,OK,Group_31 1-5,text,true,,525,166,17,17,http://162.55.220.72:5005/object_info_3?name=Alona&age=32&salary=1000,167,0,66
1673704025565,184,/get_method,200,OK,Group_31 1-16,text,true,,169,151,17,17,http://162.55.220.72:5005/get_method?name=Alona&age=32,184,0,67
1673704025568,181,/object_info_2,200,OK,Group_31 1-7,text,true,,464,166,17,17,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,181,0,65
1673704025588,163,/user_info_2,200,OK,Group_31 1-14,text,true,,464,248,17,17,http://162.55.220.72:5005/user_info_2,163,0,64
1673704025615,136,/user_info_3,200,OK,Group_31 1-12,text,true,,370,248,17,17,http://162.55.220.72:5005/user_info_3,136,0,65
1673704025585,166,/object_info_4,200,OK,Group_31 1-3,text,true,,237,166,17,17,http://162.55.220.72:5005/object_info_4?name=Alona&age=32&salary=1000,166,0,63
1673704025624,137,/object_info_1,200,OK,Group_31 1-10,text,true,,230,164,16,16,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,137,0,66
1673704025627,135,/object_info_3,200,OK,Group_31 1-6,text,true,,525,166,16,16,http://162.55.220.72:5005/object_info_3?name=Alona&age=32&salary=1000,135,0,66
1673704025627,137,/object_info_2,200,OK,Group_31 1-8,text,true,,464,166,16,16,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,137,0,66
1673704025630,138,/get_method,200,OK,Group_31 1-17,text,true,,169,151,16,16,http://162.55.220.72:5005/get_method?name=Alona&age=32,138,0,70
1673704025637,137,/user_info_2,200,OK,Group_31 1-15,text,true,,464,248,16,16,http://162.55.220.72:5005/user_info_2,137,0,67
1673704025642,133,/object_info_4,200,OK,Group_31 1-4,text,true,,237,166,16,16,http://162.55.220.72:5005/object_info_4?name=Alona&age=32&salary=1000,133,0,66
1673704025679,134,/get_method,200,OK,Group_31 1-18,text,true,,169,151,16,16,http://162.55.220.72:5005/get_method?name=Alona&age=32,134,0,69
1673704025703,132,/object_info_2,200,OK,Group_31 1-9,text,true,,464,166,16,16,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,132,0,67
